"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"an2008:stay_gostay 1 year",-0.0102132338268757,0.00855644681116169,78802.9940788966,-1.19363025941478,0.232626225224527
"an2009:stay_gostay 1 year",-0.00414190200137572,0.00868261617004733,80828.9339141939,-0.477033870927539,0.633339292507402
"an2010:stay_gostay 1 year",-0.0101787729394858,0.00874808163116611,81762.5264280606,-1.1635434337081,0.244612482088804
"an2011:stay_gostay 1 year",0.0064976084161586,0.0088302520407741,83015.9481973499,0.735834989324834,0.461833203827188
"an2012:stay_gostay 1 year",0.00627195093515145,0.0090359546992,86369.6458272149,0.694110489034073,0.487614788007559
"an2013:stay_gostay 1 year",0.0156767830057428,0.00911712089240062,87602.6173186999,1.71948833307781,0.085529022578378
"an2014:stay_gostay 1 year",0.0160202105634202,0.00917881717248032,88386.8288607339,1.74534586127846,0.0809281583357324
"an2004:stay_goLeave immediately",0.000205669733572691,0.00741257961090973,77298.8687986307,0.0277460404297027,0.977864774497124
"an2005:stay_goLeave immediately",0.0571512490424555,0.00757208874752418,80131.6589641201,7.54762007525889,4.4795041205588e-14
"an2006:stay_goLeave immediately",-0.0133717484039513,0.007553027644012,79672.3162540972,-1.77038255838404,0.0766672566219587
"an2007:stay_goLeave immediately",-0.0286449973186758,0.0075062006285201,78493.3655279648,-3.81617794891306,0.000135638654067905
"an2008:stay_goLeave immediately",-0.035234009567581,0.00747532482186549,77533.7460926268,-4.71337505823435,2.44069497864796e-06
"an2009:stay_goLeave immediately",-0.0360749163621542,0.00761397414535577,80058.2929697076,-4.73798776742084,2.16220529860144e-06
"an2010:stay_goLeave immediately",-0.0343065847447109,0.00769122398605989,81290.8129982039,-4.46048441794056,8.18840402669354e-06
"an2011:stay_goLeave immediately",-0.0426575787417338,0.00776044295642141,82357.2869431558,-5.49679689436241,3.87894922926876e-08
"an2012:stay_goLeave immediately",-0.0343527531881466,0.00795137692083672,85795.2026068539,-4.32035275527244,1.5595482678928e-05
"an2013:stay_goLeave immediately",-0.0337807803550757,0.00801587313112835,86758.9808511255,-4.21423590449473,2.50878260278349e-05
"an2014:stay_goLeave immediately",-0.0422593564767856,0.00808525480139344,87630.7162666501,-5.22671919622156,1.72938490867789e-07
"an2004:stay_goUnemployed or studying",-0.169281268467198,0.00931635439930115,75451.5310996152,-18.17033371765,1.27369210789797e-73
"an2006:stay_goUnemployed or studying",-0.0815080731283673,0.0105527958706273,90229.3446813987,-7.72383680378363,1.14034870726913e-14
"an2007:stay_goUnemployed or studying",-0.0321544546847552,0.0100069864274384,81711.9614132279,-3.21320058919939,0.00131315469929317
"an2008:stay_goUnemployed or studying",-0.0423831627096826,0.00980141053278452,77869.2162834493,-4.32419013242187,1.5328319803876e-05
"an2009:stay_goUnemployed or studying",-0.0326414319966907,0.0100882740958308,81262.4046984975,-3.23558139743452,0.00121443819879791
"an2010:stay_goUnemployed or studying",-0.0431879769816788,0.0101591654559246,81598.486091335,-4.25113432486648,2.12926580822416e-05
"an2011:stay_goUnemployed or studying",-0.030982896508722,0.0101997967096775,81628.4813288352,-3.0375994140477,0.00238546019817158
"an2012:stay_goUnemployed or studying",-0.0303430832137138,0.0104875324086538,85231.3199417694,-2.89325286744059,0.00381370754012041
"an2013:stay_goUnemployed or studying",-0.0217584637361581,0.0106275930523043,86753.2921826726,-2.04735574923434,0.0406261731158924
"an2014:stay_goUnemployed or studying",-0.0311278199242187,0.010730552170664,87534.0543848864,-2.90085910111115,0.00372233805112339
